"Closed Date","Opened Date","Market","Type","Bid/Ask","Units Filled","Units Total","Actual Rate","Cost / Proceeds"
"12/02/2017 04:57:48 AM","12/02/2017 04:57:47 AM","BTC-ADA","Limit Buy","0.00001225","93.16405714","93.16405714","0.00001224","-0.00114410"
"11/29/2017 09:17:54 AM","11/29/2017 09:13:30 AM","BTC-XRP","Limit Buy","0.00002424","50.00000000","50.00000000","0.00002424","-0.00121503"
"11/29/2017 09:15:05 AM","11/29/2017 09:15:04 AM","BTC-BAT","Limit Buy","0.00001600","70.00000000","70.00000000","0.00001600","-0.00112280"
"11/29/2017 09:11:38 AM","11/29/2017 09:11:37 AM","BTC-SC","Limit Buy","0.00000059","1750.00000000","1750.00000000","0.00000059","-0.00103508"
"11/20/2017 06:41:19 PM","11/20/2017 06:41:19 PM","BTC-POWR","Limit Buy","0.00006633","12.00097919","12.00097919","0.00006632","-0.00079801"
"11/20/2017 02:19:32 PM","11/17/2017 11:20:46 AM","BTC-MTL","Limit Sell","0.00080000","1.00000000","1.00000000","0.00080000","0.00079800"
"11/17/2017 10:54:32 AM","11/17/2017 10:54:32 AM","BTC-ETH","Limit Buy","0.04251900","0.02463052","0.02463052","0.04251879","-0.00104987"
"11/17/2017 10:18:06 AM","11/17/2017 10:18:06 AM","BTC-NEO","Limit Sell","0.00421000","0.25000000","0.25000000","0.00421000","0.00104987"
"11/08/2017 10:00:59 PM","11/08/2017 09:59:37 PM","BTC-DMD","Limit Buy","0.00120000","0.43890831","0.43890831","0.00119997","-0.00052799"
"11/08/2017 06:51:53 AM","11/08/2017 06:51:53 AM","BTC-ARK","Limit Sell","0.00032900","1.60886415","1.60886415","0.00032899","0.00052799"
"11/07/2017 07:15:51 AM","11/07/2017 07:14:45 AM","BTC-ADX","Limit Buy","0.00012500","8.20822800","8.20822800","0.00012499","-0.00102858"
"11/07/2017 06:50:26 AM","11/07/2017 06:48:47 AM","BTC-ETH","Limit Sell","0.04113000","0.02507058","0.02507058","0.04112988","0.00102858"
"11/07/2017 06:28:02 AM","11/07/2017 06:28:00 AM","BTC-EXP","Limit Buy","0.00025094","8.61338507","8.61338507","0.00025093","-0.00216684"
"11/07/2017 06:09:59 AM","11/07/2017 06:09:59 AM","BTC-FCT","Limit Sell","0.00217228","1.00000000","1.00000000","0.00217228","0.00216685"
"11/07/2017 06:07:21 AM","11/07/2017 06:03:21 AM","ETH-OMG","Limit Sell","0.02189956","0.77313588","0.77313588","0.02189955","0.01688901"
"11/07/2017 06:02:02 AM","11/07/2017 06:02:02 AM","ETH-MCO","Limit Sell","0.01968005","0.41666478","0.41666478","0.01968505","0.00818157"